GameID,AwayTeam,HomeTeam,StartDate,StartTime
71198106,Memphis Grizzlies,Charlotte Hornets,2025-04-09,09:10:00
72663810,Atlanta Hawks,Orlando Magic,2025-04-09,09:11:00
72333226,Washington Wizards,Indiana Pacers,2025-04-09,09:11:00
40761156,Chicago Bulls,Cleveland Cavaliers,2025-04-09,09:11:00
19771214,Boston Celtics,New York Knicks,2025-04-09,09:37:00
8507215,New Orleans Pelicans,Brooklyn Nets,2025-04-09,09:41:00
15936319,Minnesota Timberwolves,Milwaukee Bucks,2025-04-09,10:10:00
33951125,Los Angeles Lakers,Oklahoma City Thunder,2025-04-09,10:10:00
30846750,Golden State Warriors,Phoenix Suns,2025-04-09,12:00:00
10824578,San Antonio Spurs,Los Angeles Clippers,2025-04-09,12:40:00
62437785,Los Angeles Lakers,Dallas Mavericks,2025-04-10,09:40:00
7007918,Denver Nuggets,Sacramento Kings,2025-04-10,12:10:00
